feature_clean,importance_percent_window,importance_percent_watermark,difference,abs_difference
numeric__window_fill_ratio,35.31785,0.017270051,35.30058,35.30058
numeric__collision_rate,19.074587,0.003893007,19.070694,19.070694
numeric__interaction_rate,17.143297,0.012861875,17.130436,17.130436
numeric__conflict_rate,5.4388523,0.001991422,5.436861,5.436861
Motion: straight,5.333203,0.58880347,4.7443995,4.7443995
numeric__avg_latency_ms,4.8105826,4.0147133,0.79586935,0.79586935
Rate: constant,4.467431,0.0044400394,4.462991,4.462991
Rate: burst,2.992471,0.62240595,2.370065,2.370065
Rate: wave,1.3726288,0.853366,0.5192628,0.5192628
numeric__proximity_rate,1.3648181,1.7480634,-0.38324535,0.38324535
Motion: corridor,0.9089605,13.883848,-12.974888,12.974888
Motion: random_walk,0.55272204,0.09336983,0.4593522,0.4593522
Profile: late,0.33082455,43.428207,-43.09738,43.09738
Profile: realtime,0.24770704,6.2674084,-6.0197015,6.0197015
numeric__event_rate,0.2451044,0.013870941,0.23123346,0.23123346
numeric__late_event_ratio,0.13635837,13.71118,-13.574821,13.574821
Motion: collision,0.052033655,0.012301044,0.039732613,0.039732613
numeric__disorder_ratio,0.050736424,0.15610148,-0.10536505,0.10536505
numeric__swarm_rate,0.0466708,0.0023912855,0.044279512,0.044279512
Profile: out_of_order,0.038575467,0.20704134,-0.16846587,0.16846587
Profile: skewed,0.026904317,0.44406238,-0.41715807,0.41715807
numeric__processing_latency_ms,0.017585604,10.358785,-10.341199,10.341199
Profile: mixed,0.016523486,3.1866078,-3.1700842,3.1700842
Motion: swarm,0.013573679,0.36701766,-0.35344398,0.35344398
numeric__watermark_lag_ms,0.0,0.0,0.0,0.0
